SCCR,,,,,,,,,,,,,,,,,
,Diesel,,,Diesel Exhaust Fluid,,Other,,Unleaded,,,,,,,,,
Month, Gallons ,$/gallon,Total, Gallons ,Total, Gallons ,Total, Gallons ,$/gallon,Total, Total Sum of Gallons ,Total,Diesel Price Increase/Gallon,Unleaded Price Increase/Gallon,,,
2025,,,,,,,,,,,,,,,,,
Jan 2025,  55.40 ,$4.21,$233.12,,,  -   ,$393.35,"  6,977.77 ",$4.33,"$30,242.16","  7,033.16 ","$30,868.63",,,,,
Feb,  106.75 ,$4.08,$435.26,,,  -   ,$69.17,"  6,350.11 ",$4.64,"$29,452.68","  6,456.86 ","$29,957.11",-3.1%,7.0%,,,
Mar,  119.82 ,$4.82,$577.84,,,,,"  7,179.99 ",$4.62,"$33,192.95","  7,299.81 ","$33,770.79",18.3%,-0.3%,,,
Apr,  129.89 ,$4.60,$597.71,,,,$234.82,"  7,934.52 ",$4.83,"$38,316.59","  8,064.41 ","$39,149.12",-4.6%,4.5%,,,
May,  242.54 ,$4.83,"$1,171.66",,,,$132.02,"  8,608.67 ",$4.73,"$40,758.31","  8,851.22 ","$42,061.99",5.0%,-2.0%,,,
Jun,  139.81 ,$5.01,$700.44,,,,$32.92,"  8,270.54 ",$4.60,"$38,020.53","  8,410.35 ","$38,753.89",3.7%,-2.9%,,,
Jul,  20.09 ,$4.95,$99.43,,,  -   ,$78.92,"  9,169.66 ",$4.42,"$40,562.52","  9,189.75 ","$40,740.87",-1.2%,-3.8%,,,
Aug,  131.12 ,$4.84,$635.14,,,,$15.45,"  9,269.01 ",$4.48,"$41,524.21","  9,400.13 ","$42,174.80",-2.1%,1.3%,,,
Sep,  99.46 ,$4.58,$455.03,,,,$114.79,"  8,108.58 ",$4.64,"$37,647.86","  8,208.04 ","$38,217.68",-5.6%,3.6%,,,
Oct,  198.90 ,$4.87,$969.00,,,,$78.32,"  8,920.29 ",$4.66,"$41,589.74","  9,119.19 ","$42,637.06",6.5%,0.4%,,,
Nov,  155.60 ,$4.72,$734.24,,,,$110.02,"  6,734.40 ",$4.69,"$31,590.35","  6,890.00 ","$32,434.61",-3.1%,0.6%,,,
Dec,  82.14 ,$4.53,$371.96,,,,,"  7,597.93 ",$4.40,"$33,432.05","  7,680.06 ","$33,804.01",-4.0%,-6.2%,,,
Jan 2026,  61.05 ,$4.59,$280.31,,,  19.39 ,$81.99,"  7,229.37 ",$4.22,"$30,526.38","  7,309.81 ","$30,888.68",1.4%,-4.0%,,,
Feb,  63.73 ,$4.07,$259.48,,,  14.30 ,$116.82,"  6,510.03 ",$4.53,"$29,502.81","  6,588.06 ","$29,879.11",-11.3%,7.3%,,,
Mar,  104.26 ,$7.06,$736.49,,,,$307.21,"  8,038.49 ",$5.42,"$43,541.76","  8,174.28 ","$44,585.46",73.5%,19.5%,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Plumbing,,,,,,,,,,,,,,,,,
,Diesel,,,Diesel Exhaust Fluid,,Other,,Unleaded,,,,,,,,,
Month, Gallons ,$/gallon,Total, Gallons ,Total, Gallons ,Total, Gallons ,$/gallon,Total, Total Sum of Gallons ,Total  ,Diesel Price Increase/Gallon,Unleaded Price Increase/Gallon,,,
2025,,,,,,,,,,,,,,,,,
Jan 2025,,,,,,0,$218.70,"  6,320.19 ",$3.55,"$22,467.89","  6,320.19 ","$22,686.59",,,,,
Feb,,,,,,0,$150.71,"  5,483.65 ",$3.75,"$20,567.24","  5,483.65 ","$20,717.95",,5.5%,,,
Mar,  16.33 ,$3.35,$54.67,,,,$88.63,"  6,581.42 ",$3.71,"$24,410.03","  6,597.74 ","$24,553.33",,-1.1%,,,
Apr,  32.92 ,$3.95,$129.99,,,,$75.02,"  7,117.96 ",$3.94,"$28,037.75","  7,150.87 ","$28,242.76",17.9%,6.2%,,,
May,  73.41 ,$3.64,$267.43,,,,$81.84,"  7,483.09 ",$3.93,"$29,396.75","  7,556.50 ","$29,746.02",-7.8%,-0.3%,,,
Jun,  52.89 ,$4.00,$211.42,,,0,$264.58,"  7,179.47 ",$3.80,"$27,266.58","  7,232.37 ","$27,742.58",9.7%,-3.3%,,,
Jul,  108.25 ,$4.25,$460.05,,,,$75.39,"  8,068.94 ",$3.73,"$30,124.23","  8,177.19 ","$30,659.67",6.3%,-1.7%,,,
Aug,  60.19 ,$3.99,$240.24,,,,$210.29,"  7,877.22 ",$3.81,"$30,029.41","  7,937.42 ","$30,479.94",-6.1%,2.1%,,,
Sep,  136.06 ,$3.93,$534.34,,,0,$98.26,"  6,419.05 ",$3.91,"$25,085.20","  6,555.10 ","$25,717.80",-1.6%,2.5%,,,
Oct,  91.57 ,$4.00,$365.98,,,,,"  6,806.83 ",$3.84,"$26,118.20","  6,898.40 ","$26,484.18",1.8%,-1.8%,,,
Nov,  33.13 ,$4.05,$134.13,,,,,"  4,691.40 ",$3.88,"$18,197.64","  4,724.52 ","$18,331.77",1.3%,1.1%,,,
Dec,  280.09 ,$3.53,$988.42,,,,$99.24,"  5,061.24 ",$3.49,"$17,646.83","  5,341.33 ","$18,734.49",-12.8%,-10.1%,,,
